Drzava,Ime,Simbol,Trenutna_cena,Dnevna_sprem.,Dobiček,Volumen_delnice,Link_za_več
Pakistan,Habib Bank Limited,HBL,248.47,-2.60%,340.65B,374.19B,https://stockanalysis.com/quote/psx/HBL/
Pakistan,Pakistan Tobacco Company Limited,PAKT,1327.95,0.52%,132.28B,339.28B,https://stockanalysis.com/quote/psx/PAKT/
Pakistan,Bestway Cement Limited,BWCL,566.44,0.06%,107.76B,337.53B,https://stockanalysis.com/quote/psx/BWCL/
Pakistan,National Bank of Pakistan,NBP,149.03,0.32%,269.71B,316.06B,https://stockanalysis.com/quote/psx/NBP/
Pakistan,Colgate-Palmolive (Pakistan) Limited,COLG,1287.55,-0.56%,116.00B,312.58B,https://stockanalysis.com/quote/psx/COLG/
Pakistan,Standard Chartered Bank (Pakistan) Limited,SCBPL,78.5,-0.13%,106.34B,304.31B,https://stockanalysis.com/quote/psx/SCBPL/
Pakistan,Engro Fertilizers Limited,EFERT,202.5,-0.39%,224.16B,271.47B,https://stockanalysis.com/quote/psx/EFERT/
Pakistan,Engro Holding Limited,ENGROH,214.12,0.48%,374.78B,256.61B,https://stockanalysis.com/quote/psx/ENGROH/
Pakistan,Fatima Fertilizer Company Limited,FATIMA,120.34,-5.21%,242.84B,252.71B,https://stockanalysis.com/quote/psx/FATIMA/
Pakistan,The Hub Power Company Limited,HUBC,162.85,-0.83%,99.69B,213.01B,https://stockanalysis.com/quote/psx/HUBC/
Pakistan,Bank AL Habib Limited,BAHL,186.56,-2.21%,173.61B,212.03B,https://stockanalysis.com/quote/psx/BAHL/
Brazil,NVIDIA Corporation,NVDC34,20.55,-0.39%,916.96B,24.12T,https://stockanalysis.com/quote/bvmf/NVDC34/
Brazil,Microsoft Corporation,MSFT34,114.02,0.68%,"1,535.06B",20.50T,https://stockanalysis.com/quote/bvmf/MSFT34/
Brazil,Apple Inc.,AAPL34,62.32,0.35%,"2,238.57B",18.62T,https://stockanalysis.com/quote/bvmf/AAPL34/
Brazil,"Amazon.com, Inc.",AMZO34,62.25,0.21%,"3,650.90B",13.30T,https://stockanalysis.com/quote/bvmf/AMZO34/
Brazil,Berkshire Hathaway Inc.,BERK34,135.0,0.82%,"2,016.88B","5,823.10B",https://stockanalysis.com/quote/bvmf/BERK34/
Brazil,JPMorgan Chase & Co.,JPMC34,163.35,0.83%,892.23B,"4,479.30B",https://stockanalysis.com/quote/bvmf/JPMC34/
Brazil,Walmart Inc.,WALM34,32.77,0.74%,"3,872.78B","4,173.47B",https://stockanalysis.com/quote/bvmf/WALM34/
Brazil,Visa Inc.,VISA34,94.73,-0.02%,211.92B,"3,673.94B",https://stockanalysis.com/quote/bvmf/VISA34/
Brazil,Oracle Corporation,ORCL34,214.0,-4.86%,328.08B,"3,605.18B",https://stockanalysis.com/quote/bvmf/ORCL34/
Brazil,Eli Lilly and Company,LILY34,132.6,-0.15%,290.19B,"3,587.43B",https://stockanalysis.com/quote/bvmf/LILY34/
Brazil,Mastercard Incorporated,MSCD34,101.72,-1.62%,164.78B,"2,906.36B",https://stockanalysis.com/quote/bvmf/MSCD34/
Brazil,"Netflix, Inc.",NFLX34,131.48,0.91%,227.18B,"2,829.80B",https://stockanalysis.com/quote/bvmf/NFLX34/
Brazil,Exxon Mobil Corporation,EXXO34,76.15,0.75%,"1,797.10B","2,616.35B",https://stockanalysis.com/quote/bvmf/EXXO34/
Brazil,Johnson & Johnson,JNJB34,63.73,-0.78%,496.48B,"2,317.47B",https://stockanalysis.com/quote/bvmf/JNJB34/
Brazil,"The Home Depot, Inc.",HOME34,79.16,0.18%,916.18B,"2,211.80B",https://stockanalysis.com/quote/bvmf/HOME34/
Brazil,Bank of America Corporation,BOAC34,68.33,0.59%,536.46B,"2,031.12B",https://stockanalysis.com/quote/bvmf/BOAC34/
Brazil,The Procter & Gamble Company,PGCO34,59.9,-1.46%,459.25B,"2,001.17B",https://stockanalysis.com/quote/bvmf/PGCO34/
Brazil,Chevron Corporation,CHVX34,85.85,0.54%,"1,031.27B","1,758.83B",https://stockanalysis.com/quote/bvmf/CHVX34/
Brazil,The Coca-Cola Company,COCA34,62.12,-1.10%,257.82B,"1,612.33B",https://stockanalysis.com/quote/bvmf/COCA34/
Brazil,General Electric Company,GEOO34,1450.66,-1.85%,226.73B,"1,577.77B",https://stockanalysis.com/quote/bvmf/GEOO34/
Singapore,Tencent Holdings Limited,HTCD,9.83,-0.61%,125.16B,890.74B,https://stockanalysis.com/quote/sgx/HTCD/
Singapore,HSBC Holdings plc,HSHD,3.31,-0.30%,71.57B,286.32B,https://stockanalysis.com/quote/sgx/HSHD/
Singapore,Xiaomi Corporation,HXXD,4.39,-0.68%,76.21B,228.53B,https://stockanalysis.com/quote/sgx/HXXD/
Singapore,"Ping An Insurance (Group) Company of China, Ltd.",HPAD,4.65,-0.43%,169.55B,182.09B,https://stockanalysis.com/quote/sgx/HPAD/
Singapore,BYD Company Limited,HYDD,1.87,-1.58%,152.31B,178.10B,https://stockanalysis.com/quote/sgx/HYDD/
Singapore,DBS Group Holdings Ltd,D05,50.33,0.32%,22.10B,142.81B,https://stockanalysis.com/quote/sgx/D05/
Singapore,Delta Electronics (Thailand) Public Company Limited,TDED,6.09,1.84%,6.75B,76.27B,https://stockanalysis.com/quote/sgx/TDED/
Singapore,Oversea-Chinese Banking Corporation Limited,O39,16.75,0.54%,13.72B,75.25B,https://stockanalysis.com/quote/sgx/O39/
Singapore,Singapore Telecommunications Limited,Z74,4.31,0.23%,14.13B,71.17B,https://stockanalysis.com/quote/sgx/Z74/
Singapore,United Overseas Bank Limited,U11,35.3,0.60%,13.32B,58.23B,https://stockanalysis.com/quote/sgx/U11/
Singapore,Prudential plc,K6S,9.91,-,16.99B,42.51B,https://stockanalysis.com/quote/sgx/K6S/
Singapore,Advanced Info Service Public Company Limited,TADD,1.19,-0.83%,8.68B,35.31B,https://stockanalysis.com/quote/sgx/TADD/
Singapore,Singapore Technologies Engineering Ltd,S63,7.66,-1.42%,11.67B,23.89B,https://stockanalysis.com/quote/sgx/S63/
Singapore,Jardine Matheson Holdings Limited,J36,59.39,-0.75%,45.30B,22.35B,https://stockanalysis.com/quote/sgx/J36/
Singapore,Airports of Thailand Public Company Limited,TATD,1.45,-2.03%,2.67B,20.85B,https://stockanalysis.com/quote/sgx/TATD/
Singapore,Singapore Airlines Limited,C6L,6.59,-,19.54B,20.18B,https://stockanalysis.com/quote/sgx/C6L/
Singapore,Wilmar International Limited,F34,2.95,0.34%,88.29B,18.42B,https://stockanalysis.com/quote/sgx/F34/
Singapore,NIO Inc.,NIO,6.42,-1.83%,12.57B,18.31B,https://stockanalysis.com/quote/sgx/NIO/
Singapore,IHH Healthcare Berhad,Q0F,2.05,-,7.49B,18.25B,https://stockanalysis.com/quote/sgx/Q0F/
Singapore,Singapore Exchange Limited,S68,16.42,-0.18%,1.37B,17.58B,https://stockanalysis.com/quote/sgx/S68/
Vietnam,Joint Stock Commercial Bank for Foreign Trade of Vietnam,VCB,69000.0,-0.15%,67.89T,576.54T,https://stockanalysis.com/quote/hose/VCB/
Vietnam,Vingroup JSC,VIC,130100.0,-1.44%,255.37T,491.04T,https://stockanalysis.com/quote/hose/VIC/
Vietnam,Vinhomes JSC,VHM,104600.0,-0.57%,100.46T,429.64T,https://stockanalysis.com/quote/hose/VHM/
Vietnam,Joint Stock Commercial Bank for Investment and Development of Vietnam,BID,42500.0,-0.70%,61.61T,300.51T,https://stockanalysis.com/quote/hose/BID/
Vietnam,Vietnam Technological and Commercial Joint Stock Bank,TCB,38950.0,-1.02%,42.33T,279.77T,https://stockanalysis.com/quote/hose/TCB/
Vietnam,Vietnam Joint Stock Commercial Bank for Industry and Trade,CTG,51100.0,-0.20%,60.81T,274.41T,https://stockanalysis.com/quote/hose/CTG/
Vietnam,Vietnam Prosperity Joint Stock Commercial Bank,VPB,34000.0,2.10%,38.19T,264.20T,https://stockanalysis.com/quote/hose/VPB/
Vietnam,Military Commercial Joint Stock Bank,MBB,27200.0,-0.73%,48.42T,220.71T,https://stockanalysis.com/quote/hose/MBB/
Vietnam,Hoa Phat Group JSC,HPG,27100.0,1.31%,141.98T,205.32T,https://stockanalysis.com/quote/hose/HPG/
Vietnam,FPT Corporation,FPT,104500.0,-0.48%,66.19T,178.02T,https://stockanalysis.com/quote/hose/FPT/
Vietnam,Petrovietnam Gas Joint Stock Corporation,GAS,64900.0,-2.84%,105.95T,161.41T,https://stockanalysis.com/quote/hose/GAS/
Vietnam,Vinpearl JSC,VPL,80200.0,-,13.58T,143.82T,https://stockanalysis.com/quote/hose/VPL/
Vietnam,Asia Commercial Joint Stock Bank,ACB,27650.0,1.10%,32.25T,142.03T,https://stockanalysis.com/quote/hose/ACB/
Vietnam,Fortune Vietnam Joint Stock Commercial Bank,LPB,44850.0,2.40%,18.29T,130.84T,https://stockanalysis.com/quote/hose/LPB/
Vietnam,Vietnam Dairy Products JSC,VNM,60500.0,1.34%,60.67T,127.49T,https://stockanalysis.com/quote/hose/VNM/
Vietnam,Masan Group Corporation,MSN,83100.0,1.10%,81.40T,118.85T,https://stockanalysis.com/quote/hose/MSN/
Vietnam,Mobile World Investment Corporation,MWG,77300.0,3.07%,142.48T,114.30T,https://stockanalysis.com/quote/hose/MWG/
Vietnam,Ho Chi Minh City Development Joint Stock Commercial Bank,HDB,32500.0,0.15%,30.44T,113.41T,https://stockanalysis.com/quote/hose/HDB/
Vietnam,Saigon Thuong Tin Commercial Joint Stock Bank,STB,55000.0,3.77%,28.27T,103.31T,https://stockanalysis.com/quote/hose/STB/
Vietnam,VietJet Aviation JSC,VJC,145000.0,0.63%,73.85T,85.78T,https://stockanalysis.com/quote/hose/VJC/
Saudi Arabia,Saudi Arabian Oil Company,2222,23.7,-0.17%,"1,729.97B","5,741.63B",https://stockanalysis.com/quote/tadawul/2222/
Saudi Arabia,Al Rajhi Banking and Investment Corporation,1120,94.2,-1.05%,33.63B,376.80B,https://stockanalysis.com/quote/tadawul/1120/
Saudi Arabia,Saudi Telecom Company,7010,42.0,-0.24%,76.69B,210.07B,https://stockanalysis.com/quote/tadawul/7010/
Saudi Arabia,The Saudi National Bank,1180,34.82,-0.57%,37.19B,206.97B,https://stockanalysis.com/quote/tadawul/1180/
Saudi Arabia,Saudi Arabian Mining Company (Ma'aden),1211,52.2,-1.04%,35.94B,204.72B,https://stockanalysis.com/quote/tadawul/1211/
Saudi Arabia,Saudi Basic Industries Corporation,2010,61.0,-0.73%,141.74B,183.90B,https://stockanalysis.com/quote/tadawul/2010/
Saudi Arabia,ACWA Power Company,2082,212.5,-2.21%,7.20B,166.50B,https://stockanalysis.com/quote/tadawul/2082/
Saudi Arabia,Dr. Sulaiman Al Habib Medical Services Group Company,4013,241.0,-0.95%,12.65B,85.16B,https://stockanalysis.com/quote/tadawul/4013/
Saudi Arabia,Riyad Bank,1010,25.96,-0.23%,16.53B,77.66B,https://stockanalysis.com/quote/tadawul/1010/
Saudi Arabia,Elm Company,7203,857.5,-0.75%,8.12B,67.14B,https://stockanalysis.com/quote/tadawul/7203/
Saudi Arabia,Alinma Bank,1150,25.2,-1.10%,10.42B,63.70B,https://stockanalysis.com/quote/tadawul/1150/
Saudi Arabia,Saudi Awwal Bank,1060,30.16,-0.53%,13.69B,62.30B,https://stockanalysis.com/quote/tadawul/1060/
Saudi Arabia,Saudi Electricity Company,5110,14.53,-0.48%,97.65B,60.54B,https://stockanalysis.com/quote/tadawul/5110/
Saudi Arabia,SABIC Agri-Nutrients Company,2020,121.4,-1.30%,12.23B,58.55B,https://stockanalysis.com/quote/tadawul/2020/
Saudi Arabia,Etihad Etisalat Company,7020,63.95,-0.16%,18.80B,49.32B,https://stockanalysis.com/quote/tadawul/7020/
Saudi Arabia,Almarai Company,2280,47.58,-0.21%,21.42B,47.58B,https://stockanalysis.com/quote/tadawul/2280/
Saudi Arabia,Arab National Bank,1080,23.5,4.31%,9.24B,45.06B,https://stockanalysis.com/quote/tadawul/1080/
Saudi Arabia,Banque Saudi Fransi,1050,16.22,0.12%,9.16B,40.17B,https://stockanalysis.com/quote/tadawul/1050/
